Yorumlar,Duygu
"En son bindiğim takside ben arka koltuğun kokusuna tahammül etmeye çalışırken şöför borcunu (~32bin TL) alamazsa kayınçosunu nasıl kurşuna dizeceğini, daha önce hapis yattığını, bir daha yatmanın ona koymayacağını, hapiste yaşamın İstanbul'dan kolay olduğunu anlatıyordu.",1
bir hakim kendine ceza verebilir mi,2
Denetim i bizzat sen yaparsan o Dev asa halinden hemen tanınırsın tabiiki.Denetim olacağını haber vermeden bile...,3
Hep olumlu yapıyorlar heryer  olumlu olumlu düşünün biraz canım sizde aaa,2
“Olumsuz bir durumla karşılaşmadık!” yalancılar.,1
Oda başkanısın sanada mı nereye gidiyorsun diye soracaklar?,2
Adam komedi her anlamda.Recep Ivedik teki adama benziyor.,2
İstersen bi de Esenyurta gel bak. Normal vatandaş almiyolar ,1
Esenyurt'ta normal vatandaş kaldımı hala? Ben oraya gelirken yanımda pasaportumu getiriyorum.,2
Suriyeliler işte bu yüzdengöndermemizlaxım,2
Suriyeliler sagolsun,2
koymuşuz 180 bin,3
birdaki jenerasyon la. birlikte 100 milyonu buluruz hayvan gibi cocuk yapiyorlar yeminlen cildiricam ya yaziklar olsn halen oy toplama pesindeler,1
Kadınlar erkeklerden fazlaydı öldürüle öldürüle azalmışız iyice,2
Kadınların az olması öldürülmesidir,1
100 milyon olmasi lazim mültecileri de dahil ederseniz,2
Tuike inanan hulkuda inanıyordur .d,2
8 milyon Suriyeli 2 milyon Afgan 100 e yakın ortalama,2
Hocam kadın artık 42m 252bin 171,2
Bu iyi birşey mi yoksa kötü birşey mi?,2
85 Milyonun Kaç Milyonu Arap? ,2
Kadınlar öldürülmesi daha çok olabilirdi ,2
eşitliğe adım adım,2
Erkekler nasıl fazla çıkar ? Gelen Afganları da mı saydınız,2
Messi’nin de 398MN takipçisi var ,2
Bende diyom benim hakkımı kim yiyor,1
Erkeklerin fazla olması iyi oldu,1
Kadınlar öldürülmekten azlar !!!!!!,1
"Kaçaklarla, sığınmacılarla beraber 100 milyon vardır...",2
mülteci eklenmemiş halidir,2
Neden kız arkadaşım yok sorusuna cevap buldum,2
Nası yani kadın erkek eşit mi!? ,2
Kendi milletim kaçtane,2
cok kalabalık oldu mültecileri dışarı alalım,2
Genç nüfus oranı azalmış. Allah Belanızı versin.. Allah Belanızı versin. Allah Belanızı versin,2
2022 de değil miyiz,2
Dönenler kaç kişi,2
Erkekler olarak zaferimizi kutlayalım,3
Erkeklerin sayısı azalıyor,2
Ülkede 42 milyon kadın var bi tane beni seven yok,1
aynen knk,3
Suriler dahil mi,2
Olm neden yanlızız mk eşitiz işte,2
Getirilen vatandaşlığa alınan suriyeliler afganlar yabancılar nerede onları sayısı nerede o zaman ?,2
İçimizde araplarda var..,2
Su an 90 milyon,2
Koymuşuz,3
İğrenç yorumlar iğrenç zihniyetler,1
20 milyonu göçmen,2
Benim halkımı kim yiyor aqq,1
84 milyon insan bizi izliyor,2
100 milyondan asagi olmadigimizi sokaktaki kedi bile biliyor 12 milyon suriyeli 8 milyonda turkmen afgan ozbek pakistanli iranli,2
Tam manitaya atmalık post,3
Süriler dahil mi bu sayida,2
Suri afgan ve sivaslilar olmasa fazla kalabalik degiliz aslinda,2
Ve hâlâ sapım,1
Suri Afgan and Afrikalı hariç onlarla heralde 150 falan,2
Bence vatandaşlık verilen mültecileri çıkarsan eşitiz ,2
"Ohhh 2 erkek hakkım doğdu,",2
Bizim  kadarda  mülteci arap  vardır  net,2
Suriyelileri de saysaydınız,2
42.2milyondan seni seçmişim ve sen beni engellemişsin a be kızım yazık ettin,2
Lan araplar base atsa esenyurta geri dönerler 84m yazmışsınız hala aw en aşağı 95m,1
Kaç tanesi suriyeli ,2
"Erkek kadın nasıl eşit aga? Nereye baksam erkek, nerde bu kızlar",2
Mükremini hangi tarafa yazdınız,2
"5 milyon afgan,suriyeli,pakistanlı vs erkeği düş kadınlar daha fazla",2
Rakamların çoğu mülteci,2
bir 10 milyonu Suriyeli zaten,2
Her erkege 1 Bayan,2
42 milyon kadın ve yine yanlizim,2
200 bin civarında fazla rakip var,2
ERKEK KADINDAN ÜSTÜNMÜŞ DEMEK Kİ,1
Ve ruh ikizini bulamayan ben,2
Herkese şapka dağıtılmalı..,2
Ulan kadın erkek sayısı eşit gibi ama değil gibi bu ne,2
2023 e giriyoruz ama neyse,2
Ben niye yalnızım lan o zaman,2
16 milyon suri+slav+arap,2
"Kadın krizi var, çözülmesi lazım.",2
Esenyurt'u tekrar saysınlar.,2
Bunların coğu suriyeli afrikalı turkmen afkan liste uzuyor gidiyor azınlıktayız amq yol geçen hanı oldu ülke,1
Erkek nüfusun fazlalıligini Suriyeliler oluşturuyor,2
2023 giriyoruz,2
Açıkta kalan 175k erkekten biri olmak gurur verici,2
Bakıldığında 200 bin kişi hariç herkesleri var görünüyor sanırım eşsiz kalan 200 bin içindeyim ,2
Çok müthiş bir maçtı zevkle izledik,3
Makron'nun üzülmesine  sevindim. ,3
Fransa kazanmadı ya!!! tebrikler şampiyon Arjantin ,3
Fransa kazanmadı ya ,3
Bunu tutuyorum çünkü elime şuaaan,2
"Yedek kulübesinde takımının kazanmasını bekleyerek değil, her maça çıkıp hepsinde gol ve asist yaparak zaten bu kupayı en çok o haketti ve dünya kupasını da alarak bütün kupaları tamamladı bay kusursuz ",3
Final Arjantin’in hakkıydı. Fransa kesinlikle kendine yakışır şekilde oynamadı. Ne olursa olsun içinde Türkiye’nin olmadığı bir Dünya kupasını neyleyim. ,1
Messi Messi Messi,3
Cübbeli Messi,2
Mecburen desteklediğimiz messi ve ekibi,3
Ronaldo= Messi oldu rekabet bitti Şah mat.,3
zalim fransa almadigi icin cok mutluyum,3
Ronaldo her daim benim için number 1 ama kupayı sömürgeciler almadı yaa önemli olan o . Tebrikler ,3
Fransa alamadığı için çok mutluyum,3
"Bir secde etmedikleri kaldı adama, bir kişi bu kadar da ilahlaştırılmaz ki :( Hele o arjantin kalecisinin altın eldiven ödülünü aldıktan sonra yaptığı hareket. Ne mutlu katar'a futbol izlemek için gidip islamla müşerref olanlara..",1
"Ronaldo'nun sevinememesine üzülüp, Fransa'nın kaybetmesine sevindiğim ilginç bir gün oldu :/",2
Fransa’nın üzülmesine sevindik ,3
"Futbolun şeyhi, tartışma bitti!",3
Bu kupa ne Arjantin ne Fransa için hakedilmemistir.kupa için dizayn yapılmış zaten.eger gerçek bir dünya kupası olsa alacak olan yada şansı olan takımlar Portekiz Fas yada Hırvatistan olurdu,3
Önemli olan Katar’da Dünya Kupası’nı bir sömürgecinin kazanmamasıydı. Ronaldo yokken tabii ki Messi’ciyiz. Arjantin’i destekledik ve kazandı. Fransa’nın kaybetmesi bir yana Macron sevinmedi :),3
"Çok şükür Fransa almadı, Çok sevindim (:",3
Now tell me who is the goat is ______?,2
Messinin.yerden bitme boyu var ama ne işler başarıyor,3
"Ayıp olmasın diye giydin eyvallah, 2 poz verip çıkarsaydın şu tülleri de tarihe mavi mavi milli formanla da geçseydi şu görüntüler ",2
Fransa üzüldüğü için mutluyuz,3
Birileri açısından güzel bir son ,3
O giydiğin sana çok yakıştı be Messi ,3
hakkı olanı aldı sonunda,3
dünyanın en iyisiydi zaten şimdi daha da kesinleşti,3
Bu konuyu da Ronaldo Messi karsilastirmasina çevirmeyin be. Ronaldo oynayamadi bile oynasa dahi bu takım oyunu her ikisi de iyi oyuncu yani illa bir kıyas içine girmek gereklimi ki? Arjantin maçı haketti ve bu yüzden kazandığı için mutluyum,3
Dünyanın en iyi futbolcusu messimi ronaldomu devri bitti onun dünya kupası var,3
helallll,3
Messi maradonaya borcunu ödedi.tebrikler..,3
"O kadar çok ders alacağımız şeyler var ki... Bu kadar kaliteli hakem yönetimi yoktur. 6 gol oldu, 3 penaltı çaldı, 160 dakikaya yakın top oynandı ve tereddüt dahi etmeden VAR'a gitmedi. ",3
Arjantin kazansın diye Sevindik kalecisine sövmeyen kalmadı,3
CÜBBELİ MESSİ,3
Evrenin en iyisi o,3
Bence hakemin çok hatası oldu bu sorun önceki maçlarda da olmuştu sanki Arjantini şampiyon yapmak için hazırlanmışlar gibi:(,1
Dünya kupasını Arjantinın alması en başından belliydi. Portekizi Fasa kaybetmeside bu yüzdendi. Hakemler Arjantine çalıştı. Messi'yi Dünya kupasıyle emekli yapmak için ellerinden ne geliyorsa yaptılar. Messi bir siyonist. Ronaldoysa sadece kendi doğru bildiğini yapıyor buda en sonunda dışlanmasına sebep oldu.,3
Voleybolda 2 turk takimi tarih yazdi neden onlari yayimlamiyorsunuz? Dunyada ki tek spor futbol degil bu algidan cikin artik,3
Fransa alamadı ya gerisi önemli değil .onlar üzüldü ben sevindim ,3
Adama hogwarts cübbesi giydirdiler quidditch şampiyonu arjantin büyücülük okulu aq,3
Fransa’nın almadığına çok sevindim.. Tbrk Agantine. Ama Gönlümüzün Dünya Şampıyon’u Fas oldu ve tabiki Ronaldo,3
Yazık oldu,1
Sömürgeci fransadansa şanlı Arjantin,3
Zspor oradamıydı,2
fransanın üzülmesine sevinenlerdenim,3
Gerçek GOAT ,3
Messi tek başına aldı hakemler saolsun İsrail yanlısına zorla penaltılarla verdiler .kesin polonyalı hakemde yahudidir,1
Birileri messinin kazanması için elinden geleni yaptı hatta renaldonun takımını bile parayla satın aldı oyüzden renaldo tek başına yapamadı Messi siyonist biri iyi bilin o sadece bir oyuncu değil masum numaralarını yemeyin,1
Siiiuuuuuuuu ,3
10'un.. hakkını verdi.,3
Messi transparan giymiş ,3
Hakkıydı hakkını aldı,3
Messiye halifelik gelmiş,3
Benim icin en iyisi her zaman Ronaldoydu Messi harika bir futbolcu iki efsaneyi asla birbirinden ayırmam kupayı kazanmasına sevindim üzüldüğüm tek nokta kupayı hakem desteğiyle kazanmış olması yakışmadı bence,3
Boş adam,1
Fransa'ya gitmemesine sevindim macronun gotune girsin,3
Gonlumüz Fas tan yanaydı.Fransiza allerjimiz vardı.argentinaya yakistı,3
Afrikalı futbolcuları olmasa fransa zaten bir hiç... Tebrikler Arjantin ,3
Arap messi ,3
oz abim dunyanin en iyisi,3
ağlaması kesildi çok şükür,2
Tüm zamanların en iyisi Messi Dünya kupasınıda tamamladı koleksiyonunda,3
En büyük mü bilmem ama çok büyük LEO,3
Tebrik ederim,3
Ne maçtı ama,3
Messi cup oldu,3
@emmanuelmacron çok üzülme he :),2
2 tarafıda sevmiyorum RONALDO nun  insanlığını müslümanlara yardım etmesini seviyorum. Keşke onun takımı şampiyon olsaydı ama olsun o gönüllerimizin şampiyonu 👊,3
hak ettiler kutluyorum.,3
Hak eden kazandı ,3
şeyh Messi ,3
Fransanin penaltisini yedi hakem satti zaten,1
İk gözümün çiçeği Kupayı kaldırmakla kalmamış pelerinde takmış ,3
Tatile gitmiyor tatile gidiyorum diyip daha çabuk mahkemeyi sonuçlandırıcak,1
"Bugün Ekrem İmamoğlu ceza almadı. Bugün bu davada İstanbullu ceza aldı, Türkiye ceza aldı, Demokrasi ceza aldı, Millet İradesi ceza aldı. Bu cezayı veren Hakim, Saray’ın Hakimidir, Bu davayı hazırlayan Savcı, saray’ın Savcısıdır. Siz Saraysınız, Biz Milletiz. BİZ KAZANACAĞIZ!!!",1
Yarabbim tatile  çıkışın olur dönüş bileti bulamaz gittiğin yerde kalırsın inşallah amin,1
Yıllık izin diye kaçmasın la ,1
Şaşırtmadı,2
İmamoğlu’na az ceza verildiği ortada müebbet ya da idam verin,1
Kışın yıllık izin mi olur aw,1
ben de yıllık izine çıkıyom şu imamoğlu davasına 7 gün daha yazın,1
Yargı izlemiş,2
Teletabisssss oyunlar devam ediyor. Devam ke bakalım nereye kadar sizede mi kalacak bu koltuklar bu saltanat görecez...,1
Uzaktan kumanda,1
Savcı bey 6 ay içinde yargiyay onamali diyor galiba,2
İstinaf yolunun kapanması için olmasın o.  Haber yanlış mı yazılmış yoksa ben mi anlamadım.,2
Yıllık izin akplilerden imamoğlu'na gönderme.,1
Türkiye'ye bir temiz eller operasyonu şart oldu.,2
Amaçları çok belli sanki :),1
Yav paylaşımı yapan hukuk bilmiyor kulaktan dolma haber birincisi savcısı istinaf edebilir bunun için süre tutum vermesi kâfi. Karar savcıya tebliğ olur ve savcının süresi o zaman başlar yani erken yazın felan diyemez ,2
Ülkenin itibari 1 günde yerle bir oldu,1
E hani christmas haramdı yıl sonu neyin izni,2
"kaç sayfalık gerekçeli kararı bir haftada istiyor adam, hakim flash heralde",1
"Hakim de eğer davaya özel atanmış değilse, eğer adalet diye bir düşüncesi ve hedefi varsa normal davalar gibi davranır. Benim davam 1 senedir beklemede ve daha ne zaman sonuçlanacağı belli değil ",1
"Kılıçdaroğlunun aday olmasını istemiyorum ama öyle görünüyor ki Akşener, İmamoğlu ve Yavaş işbirliği ile Kılıçdaroğlu taca atıldı. Tabi buna iktidar da çanak tuttu kazdıkları kuyuya düştüler. Tayyip de aynı süreçten gelmişti..",2
"Bu kadarı Mansur Yavaş'ı saf dışı bırakmak için yetmemiş demek ki, İmamoğlu'nu daha da kahraman etmek gerekiyor anladığım kadarıyla.",1
"Süre tutum dilekçesi diye bi şey var. Daha önce de bu nedenle hızlı yazın diyen savcı duymadım, görmedim, talimat da veremez hakime",2
Ayarlasan bu kadar olmaz. Çıkmayıver tatile ya da geç çık.,2
Görüldü evrağıdır o,2
Hepsini KHK ile ihraç edeceksin seçim sonrasında,1
Yazıklar olsun o kararı veren hakime okadar okuduğu emek verdiği yıllara yazık daha yazacak içimden geçenler çok fazlada bunlarıda rahat rahat ifade edeğiz az kaldı.,1
Yakamızdan düşün artık be. Hayatımızı yemekten bıkmadınız. Bırakın da yaşayalım.,1
Savcı bundan kaç para aldı acb,2
"Yangından malda kacirsan nafile, Ok yaydan çıktı bir kere",1
"Böyle olaylardan sonra yıllık izne çıkılır. İzin, adlı tatillerde kullanılmıyor mu. Nasıl bir izin",2
Yaz tatili erken başlamış,2
Ben yıllık izine çıkıcam hadi byy,2
Bu kadar da belli edilmez amaç fjdöffödmfmd boomer lar eski kafayı çok belli ediyorsunuz olm,2
Dünyaya karşı yeterince rezil olmadık mı ?,2
Derin devlet.,2
Zatlar talimat vermeye devam ediyor,2
Bence idam verilmeli böyle belki seçim kazınır,1
Rahatlığa bak ya,2
"Bunlarin amacı belli, savciya bak cezayı az bulmuş, sen nerde okudun ya hukuku çok merak ediyorum",2
"Yaz oğlum kalabalık miting nedeniyle,2 yıl daha ceza.",1
Kaçma nereye kaçıyorsun ,2
Demokrasi naraları atanların sistemine bakın.  Yazik,1
Tamam Emmogli,3
süre tutum talebi gönderseymiş,2
Sendika yüzünden işten çıkarıldık 3.5 senedir mahkeme sürüyor içeride hakkım olan tazminatımı alamadım sizin geçmişinizi ben,1
tamam kanka bu ne sinir,2
Benim istinaf 1.5 yılda geri döndü,2
Adalete bak nasıl işliyor yaa maşallah,3
Gene ne oyunlar dönüyor ülkede,1
Olur olur sen git tatile kardesim,3
İnsanın gözüne soka soka yapıyorlar,1
dur la nereye gidiyon.,1
Erdoğan seçimden önce kaçacak  veya kaybedince direk kaçacak söylüyorum,1
Ülkede düzgün çalışan kurum kalmadı,1
Öyle mi olmus knk,2
bu savcı kafaya koymuş imamoğlunu mehdi ilan ettirecek,1
Aga bi salın ya bizi,1
Adelete bak sen utanmasalar idamlik dicekler,1
ZEHİR kusuyorlar. Çarşafa dolanacaklar.,1
muhatapları ne zaman ogrenecek bu cozumu acaba?!,1
#ŞartımızNet99Öncesi,2
Adamlar 45 yasinda emekli olacak calismaya da devam edecek ohh bee ne güzel valla çift maaş..Madem EYT istiyorlar o zaman özel sektörde de işten çıkarılsınlar onların yerine işsiz gençler girsin..,2
Tmm biz razıyız çalışmamaya ama ADAM gibi maaş versinler,2
Çözüm aşamasına yeni mi gelmiş,2
"çok geç, artık imamoğlu çözer bu işi",3
Olacağına ınanmıyorum eyt nın,1
Yaş kabul edilemez,1
Çözümünüze de formülünüze de ayrı ayrı baslayayım..,1
Sakin sakin bahane arıyorlar içeri atmaya,2
ayak numaralarını nerden biliyor acaba ?,2
Bunlar şimdiden başlamış,2
Şaka mı ?,1
Ne fark var ne fark var çıldırıcam yaa,1
Boşa harcanan para,1
siyaset nedir;,2
Bir daha oy vermem size sayın başkanım saygılar,1
Akşama kadar yatiyolar nerde taş değecek,1
Giyin giyin... halkın paraları ile giyin bakalım ne zamana kadar böyle devam edicek,2
Ümit hocadan devam,2
Hani marjinal bizdik,2
Reis zaten onların ayağına taş değmiyor A5lerden ötürü bize gönderde bizim ayağımıza taş değmesin artık he,2
Ooo vergilerim bugün de ayakkabı olmuş. ,1
Belediye ayakkabı yardımı sağlamaz ama,1
Nerde o bizim vergiler ile katara maç izlemeye gitti diyenler,1
Hakkım helal değil,1
Umarim gorevden alinir ve yaptigi harcama misli ile kendisine ceza verilir,1
400.000 ₺ daha girdi vatandaşa ,1
Belediye bütçesinden kişisel hediye alınamaz. Belediye bütçesi halka harcanması için vardır.,2
Fakire de lc waikiki den ikinci el ayakkabı verirsiniz ramazan da aldığınız dağıttığınız paralarıların hakkı var fakirde @maltepebeltr,1
Bu ayakkabı kutularinda bir keramet mi var ? Ne gidiyorsa ayakkabı kutusunda gidiyor ,2
Chp Li Maltepe Belediyesi yazamadınız mı ?,2
Buna harcıyacağınıza maltepe deki bağdat caddesinin yollarını düzeltmeye ne dersiniz hani 50 yıllık yol diyorum iett ler bile zor geçiyo,1
Bunu belediye bütçesinden aldığını kanıtlayın böyle söylemekle olmaz @bpthaber,1
Maltepeli kardeşlerimin vergisi,2
Mesela bu adamın anında görevden ihraç edilmesi lazım. Sabaha kalmaması lazım. Hangi parti olduğunun bir önemi yok,1
Halk iktidarını inşaa ediceğiz diyip halkın parasiyla ayakkabı hediye etmek nasıl bir mantık direk partiden ihraç olması lazım,1
"Milletin, bu halkın parası ile !",2
Hangi parti olursa olsun kabul edilemez,1
Sadece hakkımızı haram etmekten öteye gitmeliyiz,1
Maltepe halkı düşünmeyi unuttu ideoloji ağır basıyor her yerde olduğu gibi Maltepe’de böyle artık 2 kez kazandı 3.kez aday olsun yine kazanır.,3
Düşünsene seni yönetsin diye seçtiğin adam ortalama 350 milyara ayakkabı alıp senin hayatın boyu görmeyeceğin adamlara kafasına göre hediye ediyor hemde senin öz vergin ile…,2
ya bunların hepsi yeme yarışına girmiş be,1
Bizde Maltepede duraklarda saatlerce duralım otobüs seferi yetersiz diye,1
İnşallah kendi parasıyla almıştır. Aksini kabul etmiyor ve en şiddetli şekilde kınıyorum. @bskalikilic,1
Hepsinin ayakkabı numarasıni nereden biliyormuş?,2
Hepsi de aynı millete harcayacakları parayı nerelere harcıyorlar yazık valla o kadar ihtiyaç sahibi varken,2
Devletin parasını herkes yiyor sadece yiyemeyen devletin sahibi millet.,2
İhtiyaç sahibi çocuklara göndereydi daha iyi olur du makbule geçer di. Vekiller in ne ihtiyacı var ki. Çok üzüldüm boşuna israf😡😡,1
Ben ortada skechers göremiyorum. Algıysa kötü değilse daha kötü.,1
Çürük yumurta elbet her yerde vardır,1
Ye kürküm ye,3
Bu millet ne ayakkabı kutuları gördü yıl 2023 diyeceğiz hala ayakkabı kutusu görüyoruz  varsa hakkım alayına haram olsun,2
"Hediyenizi halkın cebinden değil kendi cebinizden alacaksınız, halka sordunuz mu bütçeden hediye alırken? @bskalikilic Kaç tane ana baba çocuğuna ayakkabı alamıyor biliyor musunuz siz? Siz de halkı sömürecekseniz size de oy moy yok! @chp @kilicdaroglu @ekremimamoglu Yeter artık, kanımızı emen siyasiler istemiyoruz!!!",2
2 mustafa kemal tüccarlığı yapar unuttururlar,2
"Herkes niye bu kadar devletten çalmaya meraklı anlamıyorum. Gerçi bizim halkımız ne ki devlet adamları ne olsun. Ne yazıyor Beyaz Zambaklar Ülkesinde ""devlet yöneticisi halkının yansımasıdır"".",2
Hemde skechers!hepiniz aynı b.k.n lacivertisiniz,1
"Maltepe CHP Belediyesi, likidite gelmiyor diye ağlamıyorlarmıydı bunlar!",1
ayağında ayakkabı olmayan çocuklardan da mı utanmadın ? kepazelik...,1
Yalakalık vatandaşa yapın efendiler,1
"Şimdi daha iyi anlıyorum Maltepe belediyesinde neden işlerin yürümediğini. Sökülen kaldırım taşlarının tekrar döşenmemesini, hasta olan sokak canları için veterineri arayıp saatlerce ulaşamamak, ulaştığımızda yine saatlerce gelmelerini beklemek, gelip alınan kediden bir daha haber alamamak. Sokakların çöp dolu olması. Senelerdir bitmek bilmeyen yol çalışmaları. Sıktınız artık yaaa",1
Yiyin efendiler yiyin.,3
Hiçbir parti bizi temsil etmiyor...Türk milleti olarak sesimiz sadece @umitozdag OLACAK.,1
Belediye ismine uygun hareket etmiş,2
Chp ne bekliyorsunuz ,2
Çok ihtiyaçları var sanki milletvekillerinin yazık yazık,1
Hepsi aynı kafada,2
Kimin cebinden kime jest yapıon hırsızlık bu,1
Skechers ayakkabilar minimum 1500-2000₺ arası ,2
abi bana da bi nike travis scott revers mocha dunk gönderir misin ayağıma taş değiyo,2
Aynısının lacivertoğulları.,2
Olum artık başka oyun oynayın. Nedir bu halka geçirme oyunu merakı,1
"Istifa,partiden ihraç? @chp",1
Bari nike alaydın,1
Maltepe'de yaşayan bir vatandaş olarak böyle saçma sapan işler yapmaları gerçekten çok garip,2
Şu adamın görevden alınması lazım belediye bütçesini böyle kafasına göre kullanamaz,1
Siyasetcilerin hepsi ayni devletin malı deniz yemeyen keriz misali vatandasi hicbiri düsünmuyor  ayakkabi hediye ettigi kisiler kendileri alamiyorlar sankiresmen traji komik,2
@maltepebeltr siz dalgamı geciyorsunuz maltepede bir sürü fakir fukara hane var insanlar var milletvekilleri ne demek siz kafayı yemişsiniz ali kılıç maltepeyi yedi bitirdi bu maltepenin halkı hak ediyor bunu yazıklar olsun,1
bizim belediye işte ne beklersin,2
Millet vekilleri gariban  ne yapsinlar kendileri alamiyor  baskanda gariban babasi bir  hayır işlemiş tebrikler.,3
iktidara aday hırsızlar,1
Hepinizin amacı da bu zaten,2
Kendi cebinden yaptın ise sesimiz yok ama belediyenin kasasından yaptın ise sana yazıklar olsun o parayı belediyenin kasasına geri koyman gerekiyor halkın parasını havaya atamazsın,1
Al birini vur ötekine,1
Yine bana girdi yine bana girdi,1
Aynen zaten garibanların giyecek ayakkabısı yoktur alamazlar da.,1
Baktığın zaman bunların harcadıkları amatör küme bile değil siz bide premier ligi görün,2
Maşallah basa gelseler ne olur acaba,2
"Lan biz bu iktidardan, bunları yaptığı için kurtulmak istiyoruz zaten. Siz de bu kafayla gidecekseniz, sizin neyinize oy verelim?",1
Burda dost bildiklerimiz ısırgan otu elini tuttukça elin yanıyor,1
Evet. Laiklik. Atatürk. Nutuk. Teşekkürler CHP li koyun seçmen.,3
Yazık ya Maltepe halkına,1
Hepsi ayni hiçbirinin fanatiği olmaya gerek yok. Yurtdışına bir şekilde kapak atın dediğimde de “sen gideceksin o gidecek geriye kim kalacak” diyorlar ülkeyi ben mi kurtarıcam amq bana ne,1
Ulan adamların hepsinin özel aracı var yere basmıyorlar ki ayaklarına taş değsin. Haram olsun.,1
"Zaten dunyanin maaşını alıyorsunuz, bari ayakkabiyi bizim sirtimiza yuklemeyin be utanmazlar",1
Chp mum söndücü KızılBAŞ partisidir,1
Şimdi gelir chpli troller savunmaya,2
Yav bu CHP neden sürekli kendi kendini bitirmeye çalışıyor nasıl bir at kafalı bir siyaset bu ?,1
Ulan bi bitmediniz bizim vergilerimizle ayağınıza giydiğiniz ayakkabılar hastalıklarla boğulup hastanelere yürürken giymeyi nasip etsin Rabbım al birini vur ötekine haram olsun,1
Mum söndücü hainler,1
Zerre kadar hakkım varsa zehir zıkkım olsun kendilerinden çıkmazsa çocuklarından çıksın sürüm sürüm sürünsünler inşallah,1
Hırsız chp ve mum söndücüler,1
Güle güle giyin vekillerim xd,3
Ohhh ohhhhhhh ohhhhhhhhhh yuttuk yuttuk,3
Babasının cebindenmi aldu koydu hakkim helal olmasin,1
Akpden bi farkı yok demek ki başa geçseler onlarda aynı yapacaklar hiç bir siyasetçiye güvenmeme sebebim budur.,1
"Problem sıkıntılı, çözüm önerisi daha sıkıntılı.",1
Allah belasını versin inşallah hepsi nin ayagi kırılsın,1
Şimdiden böylelerse…,2
Seri vergi ver terlik alcaz,2
Hepsinin ayak numarasını mı almış yalan haber,1
Belediye bütçesinden çok ihtiyacı olan kişilere hediye göndermek dahiyane düşünülmüş bir iyilik tebrikler,3
Önce ayakkabı numaralarını sormuş olsa gerek. Yani hepsinin haberi vardı. Biri de demedi ki bu bütçe halkın parası. Yazıklar olsun @chp,1
Partisi fark etmeksizin tüm siyasilerin hak yemesi bu halkın aptallığı ve siyasilerin ahlak yoksunluğunu gösterir. Çalıyor ama çalışıyor diye bir laf geziyorsa halkın ağzında bundan güç alır herkes,1
Hocam ben helal etmiyorum hakkımı,1
Aynı kişiyi iki kere seçersen koltuğun sahibiymis gibi davranmaya başlar.,2
İkisi de aynı be bıktık ya,1
Millet vekilleri memur maaşı alsın,2
"""zafere ulaşacağımız"", ""demokrasi"", ""adalet"", ""özgürlük"", ""belediye bütçesinden karşılanan hediye ayakkabılar"", ""içinden ayakkabılar çıkınca içi başka şeylerle doldurulabilecek ayakkabı kutuları"". Bu ülkenin ihtiyaç duyduğu değişim şey bakış açısı ve bilinç altı zira dikkatle bakılırsa hepsinin ""aynı b*kun laciverti"" olduğunu fark edilecektir.",1
Yapmayııinnn,1
128 milyar dolarlar gitti bu ülkede hiç birşey olmadı 200 ayakkabının hesabımı soruyorsunuz komik çocuklar sizi,2
